column_name,kotlin_property,json_api_key,mysql_type,classification,target_phase,drop_candidate,indexed,query_critical,car_brand_mapping_column,cost_code_or_json_key,notes,reviewed,review_decision,reviewer,review_date,review_notes
notes,notes,notes,TEXT,EXTENDED_JSON,4,LATER,NO,MEDIUM,,notes,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
shippment_date,shipmentDate,shipmentDate / shipmentDate,VARCHAR(50),SHIPPING_HISTORY,4,LATER,NO,YES,,,"Intentional typo preserved; canonical on shipping_history",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
B/L_no,blNo,blNo / B/L_no,VARCHAR(100),SHIPPING_HISTORY,4,LATER,NO,NO,,,"Reserved word; move to shipping_history",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
vessel,vessel,vessel / vesselNo,VARCHAR(255),SHIPPING_HISTORY,4,LATER,NO,YES,,,"Invoice filter; canonical on shipping_history",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
booking_requested,bookingRequested,bookingRequested,BOOLEAN/TINYINT,WORKFLOW_CONSOLIDATE,1,LATER,NO,YES,,,"Dual-write with workflow_status until queries migrated",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
invoice_confirmed,invoiceConfirmed,invoiceConfirmed,BOOLEAN/TINYINT,WORKFLOW_CONSOLIDATE,1,LATER,NO,YES,,,"Invoice flow filter",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
workflow_status,workflowStatus,workflowStatus,VARCHAR(32)/ENUM,KEEP,1,NEVER,NO,YES,,,"Single workflow source of truth (V29)",APPROVED,KEEP,owner,2026-06-26,Solo review — default plan accepted
workflow_status_updated_at,workflowStatusUpdatedAt,workflowStatusUpdatedAt,TIMESTAMP,KEEP,1,NEVER,NO,NO,,,"Audit timestamp for workflow",APPROVED,KEEP,owner,2026-06-26,Solo review — default plan accepted
shipment_charges,shipmentCharges,shipmentCharges,VARCHAR(50),COST_LINE,2,LATER,NO,NO,,SHIPMENT_CHARGES,"C&F calculation",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
freight,freight,freight,VARCHAR(50),COST_LINE,2,LATER,NO,NO,,FREIGHT,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
storage_charges,storageCharges,storageCharges,VARCHAR(50),COST_LINE,2,LATER,NO,NO,,STORAGE_CHARGES,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
misc_charges,miscCharges,miscCharges,VARCHAR(50),COST_LINE,2,LATER,NO,NO,,MISC_CHARGES,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
inspection_fee,inspectionFee,inspectionFee,VARCHAR(50),COST_LINE,2,LATER,NO,NO,,INSPECTION_FEE,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
commission,commission,commission,VARCHAR(50),COST_LINE,2,LATER,NO,NO,,COMMISSION,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
rixo_price,rixoPrice,rixoPrice,VARCHAR(50),COST_LINE,2,LATER,NO,NO,,RIXO_PRICE,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
venue_id,venueId,venueId,VARCHAR(255),EXTENDED_JSON,4,LATER,NO,MEDIUM,,venueId,"Also on rixo_prices",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
number_cut,numberCut,numberCut,VARCHAR(255),EXTENDED_JSON,4,LATER,NO,NO,,numberCut,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
shaken,shaken,shaken,BOOLEAN/TINYINT,EXTENDED_JSON,4,LATER,NO,NO,,shaken,"Flag",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
negotiate,negotiate,negotiate,BOOLEAN/TINYINT,EXTENDED_JSON,4,LATER,NO,NO,,negotiate,"V40; flag",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
repair_company,repairCompany,repairCompany,VARCHAR(100),KEEP,0,LATER,NO,MEDIUM,,,"Distinct dropdown query exists",APPROVED,KEEP,owner,2026-06-26,Solo review — default plan accepted
repair_charges,repairCharges,repairCharges,VARCHAR(50),COST_LINE,2,LATER,NO,NO,,REPAIR_CHARGES,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
profit,profit,profit,DECIMAL(15,2),COST_LINE,2,LATER,NO,NO,,PROFIT,"Calculated; DECIMAL not VARCHAR",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
is_package_mode,isPackageMode,isPackageMode,BOOLEAN/TINYINT,EXTENDED_JSON,4,LATER,NO,NO,,isPackageMode,"C&F package mode flag",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
booking_id,bookingId,bookingId,BIGINT,KEEP,N/A,NEVER,YES (idx_purchase_booking_id),YES,,,"Booking group key",APPROVED,KEEP,owner,2026-06-26,Solo review — default plan accepted
car_pictures,carPictures,carPictures,TEXT,EXTENDED_JSON,4,LATER,NO,NO,,carPictures,"Or separate purchase_media table if blobs grow",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
created_at,createdAt,createdAt,TIMESTAMP,KEEP,N/A,NEVER,NO,NO,,,"Standard audit",APPROVED,KEEP,owner,2026-06-26,Solo review — default plan accepted
updated_at,updatedAt,updatedAt,TIMESTAMP,KEEP,N/A,NEVER,NO,NO,,,"Standard audit",APPROVED,KEEP,owner,2026-06-26,Solo review — default plan accepted
sold,sold,sold,BOOLEAN,DROPPED,N/A,N/A,NO,NO,,,"V33 added V34 dropped; legacy Docker init may still list — do not restore",APPROVED,N/A,owner,2026-06-26,Solo review — default plan accepted
